code,area,year,domestic_consumers _sales_GWh,domestic_ consumers_number_of_consumers_(thousands),commercial_and_industrial_consumers_sales_GWh,commercial_and_industrial_consumers_number_of_consumers_(thousands),all_consumers_sales_GWh,all_consumers_number_of_consumers_(thousands),sales_per_consumer_domestic_kWh,sales_per_consumer_commercial_and_industrial_kWh
E09000006,Bromley,2004,2656,123,602,2,3258,125,21555,265779
E09000007,Camden,2004,1259,78,1683,4,2942,81,16215,446356
E09000001,City of London,2004,39,3,984,1,1023,4,14900,872520
E09000008,Croydon,2004,2668,130,933,2,3600,132,20533,378298
E09000009,Ealing,2004,2205,114,890,2,3095,116,19389,371372
E09000010,Enfield,2004,2068,103,739,2,2806,105,20141,374032
E09000011,Greenwich,2004,1535,88,1031,1,2566,89,17485,753438
E09000012,Hackney,2004,1363,86,402,2,1765,88,15797,250431
E09000013,Hammersmith and Fulham,2004,1205,73,725,1,1930,75,16463,485352
E09000014,Haringey,2004,1747,92,500,2,2247,94,19027,237019
E09000015,Harrow,2004,1774,78,762,2,2536,79,22801,452575
E09000016,Havering,2004,1818,91,373,2,2190,93,19955,238408
E09000017,Hillingdon,2004,1851,93,1676,2,3527,95,19960,890670
E09000018,Hounslow,2004,1504,79,1042,2,2546,81,19002,628178
E09000019,Islington,2004,1287,83,917,2,2203,85,15411,468126
E09000020,Kensington and Chelsea,2004,1143,70,1114,3,2257,74,16276,342015
E09000021,Kingston upon Thames,2004,1151,57,318,1,1469,58,20245,255510
E09000022,Lambeth,2004,1941,115,918,2,2859,117,16941,432439
E09000023,Lewisham,2004,1851,105,417,1,2268,106,17681,278919
E09000024,Merton,2004,1384,73,480,2,1864,75,18925,309488
E09000025,Newham,2004,1498,89,1490,1,2988,90,16785,1185559
E09000026,Redbridge,2004,1844,88,370,1,2214,89,21024,271018
E09000027,Richmond upon Thames,2004,1542,76,498,2,2040,77,20413,271898
E09000028,Southwark,2004,1442,100,1133,2,2575,102,14467,536583
E09000029,Sutton,2004,1338,67,375,1,1713,68,19957,322273
E09000030,Tower Hamlets,2004,955,72,913,1,1868,73,13301,610531
E09000031,Waltham Forest,2004,1596,88,434,1,2029,89,18165,322787
E09000032,Wandsworth,2004,2033,115,986,2,3019,117,17703,419851
E09000033,Westminster,2004,1285,88,3249,6,4533,94,14584,518070
E09000002,Barking and Dagenham,2005,991,64,326,1,1316,65,15415,461736
E09000003,Barnet,2005,2728,121,808,4,3536,125,22502,219985
E09000004,Bexley,2005,1647,87,895,1,2543,88,18995,946537
E09000005,Brent,2005,2003,99,640,2,2643,100,20316,339455
E09000006,Bromley,2005,2606,123,568,2,3174,125,21129,268700
E09000007,Camden,2005,1238,78,1613,4,2851,82,15844,453066
E09000001,City of London,2005,37,2,945,1,982,4,15105,842338
E09000008,Croydon,2005,2636,131,895,2,3531,133,20170,402760
E09000009,Ealing,2005,2179,114,844,2,3023,116,19088,386478
E09000010,Enfield,2005,2023,103,730,2,2752,105,19676,426429
E09000011,Greenwich,2005,1531,90,1030,1,2561,92,16957,833321
E09000012,Hackney,2005,1324,87,363,1,1687,88,15305,253935
E09000013,Hammersmith and Fulham,2005,1183,73,678,1,1861,75,16128,496505
E09000014,Haringey,2005,1719,93,446,2,2165,94,18573,238324
E09000015,Harrow,2005,1755,79,698,1,2453,80,22342,467446
E09000016,Havering,2005,1784,92,348,1,2133,93,19421,274660
E09000017,Hillingdon,2005,1821,93,1723,2,3544,95,19583,1008700
E09000018,Hounslow,2005,1493,80,878,2,2371,81,18684,567862
E09000019,Islington,2005,1254,84,714,2,1968,86,14957,398095
E09000020,Kensington and Chelsea,2005,1128,71,1072,3,2200,74,15987,342596
E09000021,Kingston upon Thames,2005,1145,57,309,1,1454,59,19938,266846
E09000022,Lambeth,2005,1899,115,871,2,2771,117,16517,448985
E09000023,Lewisham,2005,1812,105,421,1,2234,107,17221,310921
E09000024,Merton,2005,1371,74,447,1,1817,75,18644,316861
E09000025,Newham,2005,1467,90,1356,1,2823,91,16336,1158123
E09000026,Redbridge,2005,1834,90,351,1,2185,91,20398,280035
E09000027,Richmond upon Thames,2005,1526,76,511,2,2037,77,20145,307135
E09000028,Southwark,2005,1412,100,1127,2,2539,102,14106,566830
E09000029,Sutton,2005,1326,68,372,1,1698,69,19593,348076
E09000030,Tower Hamlets,2005,931,72,775,1,1706,73,12921,539960
E09000031,Waltham Forest,2005,1572,88,420,1,1992,90,17760,351708
E09000032,Wandsworth,2005,2003,115,937,2,2940,117,17361,446113
E09000033,Westminster,2005,1258,88,3101,6,4359,94,14249,508558
E09000002,Barking and Dagenham,2006,950,65,256,1,1206,65,14672,374981
E09000003,Barnet,2006,2660,122,747,3,3407,126,21760,216886
E09000004,Bexley,2006,1592,87,896,1,2488,88,18265,947325
E09000005,Brent,2006,1947,100,582,2,2530,102,19510,323949
E09000006,Bromley,2006,2531,125,611,2,3142,127,20291,303119
E09000007,Camden,2006,1192,78,1617,3,2809,81,15279,471044
E09000001,City of London,2006,36,3,889,1,925,4,14027,807118
E09000008,Croydon,2006,2547,131,646,2,3193,133,19399,296734
E09000009,Ealing,2006,2121,115,831,2,2952,117,18416,400695
E09000010,Enfield,2006,1957,104,692,2,2650,106,18814,424322
E09000011,Greenwich,2006,1479,91,995,1,2474,92,16218,845857
E09000012,Hackney,2006,1267,87,352,1,1619,88,14558,267931
E09000013,Hammersmith and Fulham,2006,1138,73,663,1,1801,75,15490,494686
E09000014,Haringey,2006,1644,93,429,2,2074,95,17662,249746
E09000015,Harrow,2006,1710,79,669,1,2379,81,21606,472936
E09000016,Havering,2006,1722,93,288,1,2010,94,18564,247224
E09000017,Hillingdon,2006,1782,94,1572,2,3353,96,18896,973956
E09000018,Hounslow,2006,1452,80,833,1,2285,82,18042,569920
E09000019,Islington,2006,1206,85,745,2,1951,87,14199,432844
E09000020,Kensington and Chelsea,2006,1091,71,1047,3,2138,74,15428,345927
E09000021,Kingston upon Thames,2006,1109,58,285,1,1394,59,19284,250928
E09000022,Lambeth,2006,1827,116,855,2,2682,118,15774,466683
E09000023,Lewisham,2006,1736,106,364,1,2099,107,16438,289969
E09000024,Merton,2006,1328,74,433,1,1761,75,17994,321381
E09000025,Newham,2006,1409,90,1310,1,2720,91,15672,1167714
E09000026,Redbridge,2006,1781,91,333,1,2114,92,19609,279049
E09000027,Richmond upon Thames,2006,1477,76,485,2,1962,77,19457,311121
E09000028,Southwark,2006,1361,101,1020,2,2381,103,13454,525875
E09000029,Sutton,2006,1292,68,367,1,1658,69,18924,353728
E09000030,Tower Hamlets,2006,918,74,802,1,1720,75,12442,575678
E09000031,Waltham Forest,2006,1522,89,440,1,1962,90,17049,372195
E09000032,Wandsworth,2006,1934,116,837,2,2771,118,16681,418586
E09000033,Westminster,2006,1224,89,3115,6,4339,95,13804,523455
E09000002,Barking and Dagenham,2007,931,65,247,1,1178,66,14232,414241
E09000003,Barnet,2007,2623,123,696,3,3319,127,21252,218111
E09000004,Bexley,2007,1541,88,810,1,2351,89,17552,924653
E09000005,Brent,2007,1919,101,555,2,2474,102,19040,334653
E09000006,Bromley,2007,2476,126,505,2,2980,128,19654,279349
E09000007,Camden,2007,1173,79,1543,3,2715,82,14914,478190
E09000001,City of London,2007,37,3,927,1,964,4,13901,871130
E09000008,Croydon,2007,2497,133,554,2,3051,135,18762,280403
E09000009,Ealing,2007,2084,117,772,2,2856,119,17867,403330
E09000010,Enfield,2007,1923,105,695,2,2618,106,18315,461505
E09000011,Greenwich,2007,1437,92,979,1,2416,93,15614,886726
E09000012,Hackney,2007,1253,89,315,1,1568,90,14119,273564
E09000013,Hammersmith and Fulham,2007,1110,74,598,1,1708,75,15010,512454
E09000014,Haringey,2007,1613,94,397,2,2011,95,17174,261797
E09000015,Harrow,2007,1696,80,678,1,2374,81,21168,535763
E09000016,Havering,2007,1679,94,256,1,1936,95,17931,249950
E09000017,Hillingdon,2007,1753,95,1478,1,3231,97,18439,997267
E09000018,Hounslow,2007,1429,82,780,1,2209,83,17518,585391
E09000019,Islington,2007,1182,86,715,2,1897,88,13700,471018
E09000020,Kensington and Chelsea,2007,1067,71,963,3,2031,74,15028,338500
E09000021,Kingston upon Thames,2007,1080,58,299,1,1380,59,18649,281274
E09000022,Lambeth,2007,1775,117,804,2,2579,119,15178,461014
E09000023,Lewisham,2007,1692,106,328,1,2020,107,15921,276296
E09000024,Merton,2007,1298,74,401,1,1699,76,17440,323483
E09000025,Newham,2007,1389,91,1288,1,2677,92,15263,1276720
E09000026,Redbridge,2007,1739,91,319,1,2058,92,19075,291368
E09000027,Richmond upon Thames,2007,1449,76,460,1,1909,78,18984,316253
E09000028,Southwark,2007,1331,102,1029,2,2361,104,13037,562763
E09000029,Sutton,2007,1264,69,341,1,1605,70,18336,350258
E09000030,Tower Hamlets,2007,903,75,728,1,1631,76,12065,565140
E09000031,Waltham Forest,2007,1493,90,342,1,1835,91,16589,330085
E09000032,Wandsworth,2007,1886,117,738,2,2624,119,16093,400753
E09000033,Westminster,2007,1197,89,2887,6,4084,95,13447,511869
E09000002,Barking and Dagenham,2008,823,65,224,0,1047,66,12593,449106
E09000003,Barnet,2008,2396,125,597,2,2992,128,19139,244879
E09000004,Bexley,2008,1380,88,724,1,2104,89,15619,1050170
E09000005,Brent,2008,1719,102,496,1,2215,103,16927,395049
E09000006,Bromley,2008,2239,127,422,1,2662,129,17581,292154
E09000007,Camden,2008,1076,79,1487,3,2564,82,13594,522763
E09000001,City of London,2008,35,3,905,1,940,4,13170,875815
E09000008,Croydon,2008,2238,135,489,2,2726,137,16548,312162
E09000009,Ealing,2008,1872,117,700,2,2572,119,15935,459729
E09000010,Enfield,2008,1735,106,589,1,2324,107,16324,486534
E09000011,Greenwich,2008,1278,92,1050,1,2327,93,13837,1127319
E09000012,Hackney,2008,1111,90,263,1,1374,91,12377,269481
E09000013,Hammersmith and Fulham,2008,1005,74,594,1,1599,75,13502,582824
E09000014,Haringey,2008,1448,95,343,1,1791,96,15219,286355
E09000015,Harrow,2008,1533,81,579,1,2112,82,18922,586852
E09000016,Havering,2008,1510,94,215,1,1725,95,16008,264822
E09000017,Hillingdon,2008,1581,96,1488,1,3069,98,16409,1212886
E09000018,Hounslow,2008,1289,83,535,1,1824,84,15616,477606
E09000019,Islington,2008,1050,87,614,1,1663,89,12015,469203
E09000020,Kensington and Chelsea,2008,992,71,916,3,1908,74,13941,363625
E09000021,Kingston upon Thames,2008,977,58,272,1,1249,59,16731,310597
E09000022,Lambeth,2008,1574,118,753,1,2327,120,13300,551929
E09000023,Lewisham,2008,1493,107,272,1,1765,108,13920,286295
E09000024,Merton,2008,1174,75,347,1,1521,76,15624,342881
E09000025,Newham,2008,1226,92,1296,1,2522,93,13326,1528301
E09000026,Redbridge,2008,1591,93,287,1,1878,94,17146,322430
E09000027,Richmond upon Thames,2008,1320,77,393,1,1713,78,17135,336256
E09000028,Southwark,2008,1183,103,990,2,2174,104,11530,637355
E09000029,Sutton,2008,1149,71,275,1,1424,71,16290,346942
E09000030,Tower Hamlets,2008,805,76,688,1,1494,77,10596,583454
E09000031,Waltham Forest,2008,1337,91,295,1,1632,92,14681,357444
E09000032,Wandsworth,2008,1701,118,661,2,2362,120,14380,439789
E09000033,Westminster,2008,1100,89,2689,5,3788,95,12298,510257
E09000002,Barking and Dagenham,2009,823,65,224,0,1047,66,12593,449106
E09000003,Barnet,2009,2396,125,597,2,2992,128,19139,244879
E09000004,Bexley,2009,1380,88,724,1,2104,89,15619,1050170
E09000005,Brent,2009,1719,102,496,1,2215,103,16927,395049
E09000006,Bromley,2009,2239,127,422,1,2662,129,17581,292154
E09000007,Camden,2009,1076,79,1487,3,2564,82,13594,522763
E09000001,City of London,2009,35,3,905,1,940,4,13170,875815
E09000008,Croydon,2009,2238,135,489,2,2726,137,16548,312162
E09000009,Ealing,2009,1872,117,700,2,2572,119,15935,459729
E09000010,Enfield,2009,1735,106,589,1,2324,107,16324,486534
E09000011,Greenwich,2009,1278,92,1050,1,2327,93,13837,1127319
E09000012,Hackney,2009,1111,90,263,1,1374,91,12377,269481
E09000013,Hammersmith and Fulham,2009,1005,74,594,1,1599,75,13502,582824
E09000014,Haringey,2009,1448,95,343,1,1791,96,15219,286355
E09000015,Harrow,2009,1533,81,579,1,2112,82,18922,586852
E09000016,Havering,2009,1510,94,215,1,1725,95,16008,264822
E09000017,Hillingdon,2009,1581,96,1488,1,3069,98,16409,1212886
E09000018,Hounslow,2009,1289,83,535,1,1824,84,15616,477606
E09000019,Islington,2009,1050,87,614,1,1663,89,12015,469203
E09000020,Kensington and Chelsea,2009,992,71,916,3,1908,74,13941,363625
E09000021,Kingston upon Thames,2009,977,58,272,1,1249,59,16731,310597
E09000022,Lambeth,2009,1574,118,753,1,2327,120,13300,551929
E09000023,Lewisham,2009,1493,107,272,1,1765,108,13920,286295
E09000024,Merton,2009,1174,75,347,1,1521,76,15624,342881
E09000025,Newham,2009,1226,92,1296,1,2522,93,13326,1528301
E09000026,Redbridge,2009,1591,93,287,1,1878,94,17146,322430
E09000027,Richmond upon Thames,2009,1320,77,393,1,1713,78,17135,336256
E09000028,Southwark,2009,1183,103,990,2,2174,104,11530,637355
E09000029,Sutton,2009,1149,71,275,1,1424,71,16290,346942
E09000030,Tower Hamlets,2009,805,76,688,1,1494,77,10596,583454
E09000031,Waltham Forest,2009,1337,91,295,1,1632,92,14681,357444
E09000032,Wandsworth,2009,1701,118,661,2,2362,120,14380,439789
E09000033,Westminster,2009,1100,89,2689,5,3788,95,12298,510257
E09000002,Barking and Dagenham,2010,825,65,221,0,1046,66,12599,444816
E09000003,Barnet,2010,2387,126,589,2,2976,128,19007,252202
E09000004,Bexley,2010,1380,89,738,1,2118,89,15571,1114712
E09000005,Brent,2010,1700,102,517,1,2217,103,16738,421478
E09000006,Bromley,2010,2232,128,414,1,2646,129,17454,295046
E09000007,Camden,2010,1070,79,1434,3,2504,82,13510,502882
E09000001,City of London,2010,35,3,864,1,899,4,13272,835570
E09000008,Croydon,2010,2225,136,493,2,2718,137,16368,324957
E09000009,Ealing,2010,1860,118,747,2,2607,119,15822,495874
E09000010,Enfield,2010,1723,107,565,1,2289,108,16145,486627
E09000011,Greenwich,2010,1271,92,1084,1,2356,93,13749,1178489
E09000012,Hackney,2010,1103,90,274,1,1377,91,12243,287193
E09000013,Hammersmith and Fulham,2010,1005,75,637,1,1642,76,13470,637472
E09000014,Haringey,2010,1434,95,335,1,1770,97,15026,294504
E09000015,Harrow,2010,1534,81,545,1,2079,82,18827,568475
E09000016,Havering,2010,1509,94,232,1,1741,95,15976,282629
E09000017,Hillingdon,2010,1574,97,1352,1,2925,98,16299,1117159
E09000018,Hounslow,2010,1282,83,674,1,1956,84,15493,599220
E09000019,Islington,2010,1034,87,615,1,1650,89,11843,472563
E09000020,Kensington and Chelsea,2010,994,71,949,3,1944,73,14035,371089
E09000021,Kingston upon Thames,2010,975,59,279,1,1254,59,16650,319988
E09000022,Lambeth,2010,1556,118,795,1,2351,120,13137,598988
E09000023,Lewisham,2010,1482,108,272,1,1754,109,13767,294856
E09000024,Merton,2010,1167,75,351,1,1518,76,15522,341705
E09000025,Newham,2010,1217,92,1316,1,2534,93,13228,1579886
E09000026,Redbridge,2010,1587,93,263,1,1849,94,17076,292928
E09000027,Richmond upon Thames,2010,1322,77,372,1,1694,78,17141,323940
E09000028,Southwark,2010,1168,103,1005,1,2173,104,11378,674772
E09000029,Sutton,2010,1140,71,259,1,1399,71,16165,331905
E09000030,Tower Hamlets,2010,797,76,703,1,1500,77,10479,591514
E09000031,Waltham Forest,2010,1327,91,332,1,1659,92,14542,403929
E09000032,Wandsworth,2010,1685,119,682,2,2367,120,14217,451015
E09000033,Westminster,2010,1098,89,2813,5,3911,95,12280,535034
E09000002,Barking and Dagenham,2011,2260,126,548,2,2808,128,17897,250829
E09000003,Barnet,2011,1288,89,772,1,2060,89,14504,1210123
E09000004,Bexley,2011,1601,102,521,1,2123,103,15707,447639
E09000005,Brent,2011,2099,128,394,1,2492,130,16367,292911
E09000006,Bromley,2011,1010,80,1464,3,2474,82,12693,525816
E09000007,Camden,2011,34,3,797,1,831,4,12667,796611
E09000001,City of London,2011,776,66,241,0,1017,66,11797,502881
E09000008,Croydon,2011,2104,137,462,1,2566,138,15411,331091
E09000009,Ealing,2011,1747,118,759,1,2506,119,14819,515564
E09000010,Enfield,2011,1614,107,605,1,2219,108,15076,527148
E09000011,Greenwich,2011,1192,92,1025,1,2217,93,12915,1137378
E09000012,Hackney,2011,1035,91,278,1,1313,92,11398,290191
E09000013,Hammersmith and Fulham,2011,935,75,616,1,1551,76,12500,633761
E09000014,Haringey,2011,1341,96,333,1,1674,97,13973,308953
E09000015,Harrow,2011,1454,82,476,1,1930,83,17801,520935
E09000016,Havering,2011,1406,95,220,1,1626,96,14788,271385
E09000017,Hillingdon,2011,1479,97,984,1,2463,98,15271,839500
E09000018,Hounslow,2011,1206,83,646,1,1853,84,14493,595754
E09000019,Islington,2011,965,88,581,1,1547,89,10998,465791
E09000020,Kensington and Chelsea,2011,938,71,912,2,1851,74,13178,374832
E09000021,Kingston upon Thames,2011,920,59,248,1,1168,60,15617,312257
E09000022,Lambeth,2011,1469,119,825,1,2294,120,12329,632740
E09000023,Lewisham,2011,1391,108,319,1,1710,109,12847,356471
E09000024,Merton,2011,1106,76,333,1,1439,77,14606,350185
E09000025,Newham,2011,1155,93,1365,1,2520,94,12467,1558084
E09000026,Redbridge,2011,1494,93,240,1,1734,94,16023,288668
E09000027,Richmond upon Thames,2011,1241,77,349,1,1590,79,16021,320229
E09000028,Southwark,2011,1103,103,915,1,2018,105,10693,631010
E09000029,Sutton,2011,1076,71,250,1,1326,72,15114,344341
E09000030,Tower Hamlets,2011,754,77,742,1,1496,78,9828,615562
E09000031,Waltham Forest,2011,1254,92,296,1,1550,93,13644,366293
E09000032,Wandsworth,2011,1591,119,637,1,2228,121,13353,448853
E09000033,Westminster,2011,1038,90,2683,5,3721,95,11541,523476
E09000002,Barking and Dagenham,2012,764,66,219,0,983,66,11620,461032
E09000003,Barnet,2012,2245,126,545,2,2791,129,17751,251383
E09000004,Bexley,2012,1291,89,730,1,2021,89,14550,1147993
E09000005,Brent,2012,1575,102,531,1,2106,103,15440,467596
E09000006,Bromley,2012,2106,128,404,1,2510,130,16392,311313
E09000007,Camden,2012,994,80,1464,3,2458,82,12493,525046
E09000001,City of London,2012,32,3,768,1,800,4,11980,785032
E09000008,Croydon,2012,2090,137,459,1,2550,138,15268,337371
E09000009,Ealing,2012,1728,118,736,1,2464,119,14675,504733
E09000010,Enfield,2012,1607,107,512,1,2119,108,14996,464599
E09000011,Greenwich,2012,1181,92,732,1,1913,93,12801,846155
E09000012,Hackney,2012,1013,91,311,1,1324,92,11152,323279
E09000013,Hammersmith and Fulham,2012,920,75,619,1,1539,76,12297,650274
E09000014,Haringey,2012,1317,96,332,1,1649,97,13712,310824
E09000015,Harrow,2012,1444,82,507,1,1951,83,17639,549237
E09000016,Havering,2012,1404,95,234,1,1637,96,14749,309852
E09000017,Hillingdon,2012,1474,97,991,1,2466,98,15224,869378
E09000018,Hounslow,2012,1194,83,643,1,1837,84,14373,612294
E09000019,Islington,2012,947,88,633,1,1580,89,10793,511826
E09000020,Kensington and Chelsea,2012,918,71,1112,2,2030,73,12933,453532
E09000021,Kingston upon Thames,2012,921,59,254,1,1174,60,15573,320897
E09000022,Lambeth,2012,1448,120,815,1,2264,121,12113,625785
E09000023,Lewisham,2012,1372,109,273,1,1646,110,12617,317207
E09000024,Merton,2012,1098,76,320,1,1417,77,14485,337814
E09000025,Newham,2012,1121,93,1019,1,2140,94,12073,1193214
E09000026,Redbridge,2012,1485,93,259,1,1744,94,15894,309814
E09000027,Richmond upon Thames,2012,1240,78,354,1,1594,79,15993,318659
E09000028,Southwark,2012,1080,103,981,1,2062,104,10529,679679
E09000029,Sutton,2012,1077,71,246,1,1323,72,15111,345536
E09000030,Tower Hamlets,2012,732,77,737,1,1468,78,9522,632767
E09000031,Waltham Forest,2012,1242,92,322,1,1565,93,13489,429138
E09000032,Wandsworth,2012,1584,119,604,1,2188,121,13282,428464
E09000033,Westminster,2012,1015,90,2711,5,3726,95,11317,543040
E09000002,Barking and Dagenham,2013,747,66,210,0,957,66,11366,435935
E09000003,Barnet,2013,2218,127,547,2,2765,129,17520,252251
